Organisation,Country,maxRating,avgRating,numUsers
modu,China,2550,2550.0,1
Mamnoon Siam Fan Club,Bangladesh,2501,2269.6666666666665,3
CQ Genshin Middle School,China,2578,2387.5,2
IIT Kharagpur,India,2636,1613.6633663366338,101
Fudan University,China,2673,2043.857142857143,7
olumPosetMisiniz,Turkey,2465,2465.0,1
Genshin Impact University,China,2457,2457.0,1
Diocesan Boys' School,Hong Kong,2456,2230.5,4
Taylor Series Fan Club,South Korea,2572,2572.0,1
KIBOUGAMINE GAKUEN,Japan,2455,2455.0,1
XIV LO Wroclaw,Poland,2602,2053.0,3
University of New South Wales,Australia,2729,2345.6666666666665,3
Colegiul National Emil Racovita,Romania,2471,1679.4,5
CUP Algorithm Association,China,2449,2098.0,3
University Politehnica of Bucharest,Romania,2494,2470.5,2
Kharkiv NU,Ukraine,2490,2490.0,1
University of Illinois at Urbana-Champaign,China,2610,2272.0,3
Indian Institute of Technology Madras,India,2512,1711.188679245283,53
やなぎなぎ fanclub,Brazil,2841,2841.0,1
Escuela Superior de Cómputo,Mexico,2681,1879.0,4
Sperm bank n. a. V. Gerasikov,Russia,2485,2116.909090909091,11
pengzoo,Russia,2614,2614.0,1
Chengdu No.7 High School,China,2580,2289.25,8
Korea Science Academy,South Korea,2513,1906.5,4
Hasso Plattner Institute,Germany,2437,2297.5,2
National Taiwan U,Taiwan,2604,2393.8571428571427,7
orzwater235,China,2433,2425.0,2
Arayi Fan Club,Armenia,2686,2686.0,1
MS attached to NPU,China,2448,2087.4,5
FCIS Ain Shams University,Egypt,2506,1723.2962962962963,27
Università degli Studi di Milano,Italy,2464,2464.0,1
Double Ten High School,China,2427,2427.0,1
Chongqing Nankai Secondary School,China,2473,2355.6,5
Chengdu Foreign Language School,China,2425,2425.0,1
YarSU,Russia,2425,2046.0,2
Maanshan No.2 High School,China,2425,2183.4,5
Harbour.Space,Netherlands,2625,2387.0,3
Sichuan University,China,2421,2172.75,8
Diu Fan Club,China,2417,2223.0,2
JQH Fan Club,China,2413,2413.0,1
Moscow State University,Russia,2590,2128.5,6
BIMBOOOO,Russia,2411,2266.0,2
CHV,Vietnam,2688,2378.5,2
PurpleCrayon Fan Club,United States,2461,2333.5,2
Shahid Soltani 3,Iran,2463,1923.0,3
Havana University,Cuba,2575,1914.8,5
SUSTech,China,2502,2502.0,1
Hangzhou Dianzi U,China,2404,2051.6666666666665,9
BigBag fan club,Ukraine,2768,2586.0,2
Xiamen University,China,2403,2324.0,2
HSGS High School For Gifted Student,Vietnam,2455,1984.875,8
University of Bucharest,Romania,2741,2196.8,5
hjxhjx fan club,Iceland,2397,2090.0,3
Wuhan Foreign Language School,China,2559,2299.0,2
ChongQing No.8 Secondary School,China,2396,1895.25,4
darkkcyan fanclub,Vietnam,2588,2588.0,1
Wuhan University,China,2473,2158.5,8
Hunan Normal University,China,2424,1997.8,5
Belarusian SU,Belarus,2666,2186.3333333333335,9
UNICAMP,Brazil,2484,2023.0,6
5ab fan club,China,2386,2386.0,1
Belal (bond) Fan Club,Jordan,2676,2074.0,2
Tencent,China,2380,2380.0,1
Taurida NU,Russia,2634,2634.0,1
University of Southampton,Romania,2376,2376.0,1
Ruhan Habib Fan Club,Bangladesh,2527,2527.0,1
Northeastern University (USA),United States,2450,2292.5,2
Photon,Armenia,2585,2045.0,2
Mike4235 fan club,Vietnam,2572,2162.0,2
Guangzhou Turing Edu.,China,2402,2165.5,2
UESTC,China,2475,2099.1176470588234,17
Spearhead Squadron,China,2368,2368.0,1
KBTU,Kazakhstan,2568,2026.8,10
Shanghai University,China,2366,1795.6666666666667,9
Columbia University,United States,2483,2093.6,5
Shkola Shikovi,Bulgaria,2630,2630.0,1
TU Munich,Germany,2465,2041.8333333333333,6
The Masked Fools,United States,2400,2400.0,1
Microsoft,Serbia,2460,2087.6666666666665,3
University of Dhaka,Bangladesh,2398,1754.3333333333333,9
Hengshui High School of Hebei,China,2492,2160.1666666666665,6
Alin Popescu Fanclub,Moldova,2356,2288.5,2
pbb,China,2494,2371.5,2
Shahjalal University of Science and Technology,Bangladesh,2412,1745.9583333333333,24
Rubrik,India,2690,2690.0,1
Funclub OlyaZ,Russia,2570,2209.0,3
amirhoseinfar1385 team,Iran,2349,2349.0,1
k1r1t0 fanclub,Russia,2437,1834.0,3
SMK (L) Methodist Kuala Lumpur,Malaysia,2345,2345.0,1
Moonlight Middle School,China,2642,2642.0,1
Linyi No.1 Middle School,China,2342,2196.5,2
PTHS,Ukraine,2579,2348.0,2
realskc Fan Club,China,2340,2334.5,2
Chalmers University of Technology,Sweden,2339,2339.0,1
National Chiao Tung University,Taiwan,2357,2080.1666666666665,6
UCLA,United States,2350,2350.0,1
ORLbl(Ptici vblsokogo poleta),Russia,2351,2351.0,1
Daegu Science High School,South Korea,2332,2332.0,1
L2SH,Russia,2329,2329.0,1
Nanning No.2 High School,China,2328,2328.0,1
Ganzhou HouDe Middle School,China,2361,2102.1428571428573,7
IIT Indore,India,2369,1719.658536585366,41
Pirmā programmēšanas skola,Latvia,2323,1952.75,4
Chulalongkorn University,Thailand,2459,1956.5,4
youtube.com@aryanc403,India,2452,2452.0,1
THIRD Inc.,Japan,2581,2581.0,1
UBC,Indonesia,2822,2421.8,5
University of São Paulo,Brazil,2404,1902.8181818181818,11
Zhejiang University of Technology,China,2319,2052.5714285714284,7
Hangzhou Dianzi University,China,2315,2039.6666666666667,3
Yonsei University,South Korea,2315,2045.75,8
Hangzhou Xuejun High School,China,2401,2401.0,1
Grekhobibiki,Russia,2313,2177.0,2
National Experimental High School,Taiwan,2313,2142.0,3
United Parsa's,Iran,2602,2342.6666666666665,3
Northwestern University,Thailand,2310,2287.5,2
Garden International School KL,Malaysia,2310,2310.0,1
Universidad de la Habana,Cuba,2362,1848.5714285714287,7
Moroccan Olympiads in informatics,Morocco,2309,1985.6666666666667,3
Universitat Politècnica de Catalunya,Spain,2370,2094.75,12
FAU Erlangen,Germany,2308,1884.5,2
IIT Bombay,India,2377,1751.6190476190477,21
Kim Il Sung University,North Korea,2306,2076.5,4
Cassell College,China,2354,2354.0,1
Genshin Impact,Antarctica,2394,2394.0,1
Taichung First SH,Taiwan,2328,2328.0,1
Institut Teknologi Bandung,Indonesia,2301,1944.3,10
Waimai University,Taiwan,2365,2365.0,1
Universidade Federal de Minas Gerais,Brazil,2423,1932.5714285714287,7
Raffles Institution,Singapore,2417,2100.3333333333335,3
zpk Fan Club,China,2306,2177.75,4
SJZEZ,China,2296,2296.0,1
Alexander Burlakov fan-club,Russia,2296,2296.0,1
Living legend,Russia,2291,2291.0,1
Abobas,Ukraine,2416,2416.0,1
BSUIR,Belarus,2289,1877.7142857142858,7
fadge,China,2420,2420.0,1
University of Pisa,Italy,2487,2001.0,2
tonightV fanclub,United States,2395,2395.0,1
Yancheng Middle School,China,2286,2286.0,1
POSTECH,South Korea,2353,2249.0,4
Gimnazija Veljko Petrovic,Serbia,2281,2281.0,1
Xidian University,China,2281,1998.1666666666667,6
Huynh Man Dat Highschool for the Gifted,Vietnam,2281,2121.5,2
Lin Liu fan club,Georgia,2428,2428.0,1
classone,China,2278,2278.0,1
Universitas Indonesia,Indonesia,2394,2061.8,5
Kaisei High School,Japan,2291,2291.0,1
Gensoukyo,China,2399,2399.0,1
jiangbowen fan club,China,2274,2274.0,1
Star Rail,Russia,2273,2273.0,1
viperr,France,2272,2272.0,1
UAIC,Romania,2271,2179.3333333333335,3
Renmin University of China,China,2274,2197.0,2
Zhejiang University of Finance and Economics,China,2408,1832.8,5
GAOU TO PhMS,Russia,2326,1993.0,2
Purdue University,United States,2268,2014.75,4
Hunan Institute of Technology,China,2267,1879.0,4
0x3F Club,China,2300,1872.4117647058824,17
Facebook,Taiwan,2358,2358.0,1
Anti-haoba Army,China,2264,2264.0,1
Hanoi University of Science and Technology,Vietnam,2363,1940.0,4
cxaphoenix fan club,China,2354,2354.0,1
feyn,China,2261,2160.5,2
Toanleism,Vietnam,2282,2282.0,1
Jmm Fan Club,China,2366,2286.3333333333335,3
France-IOI,France,2602,2245.5,4
Guangzhou No.2 High School,China,2257,2117.3333333333335,3
Farzanegan,Iran,2419,2207.5,2
Taipei Muncipal Jianguo HS,Taiwan,2295,2295.0,1
Op University,China,2257,2257.0,1
Erkhet Erdem,Mongolia,2368,1790.3333333333333,3
Waseda University,Japan,2349,2081.3333333333335,6
Shanghai University of Finance and Economics,China,2255,2255.0,1
OIers' Convolution,China,2286,2286.0,1
Affiliated High School of Fujian Normal University,China,2481,2233.0,4
Star Rail College,China,2254,2254.0,1
Ecole Polytechnique,France,2702,2397.0,3
Universidade do Porto,Portugal,2253,1876.5,2
Changjun NetBar,China,2279,2279.0,1
Tyumen IU,Russia,2440,2440.0,1
IIT Roorkee,India,2345,1652.9611650485438,103
Innopolis University,Russia,2330,1871.5,8
Yangzhou High School,China,2368,2072.6666666666665,3
Mathematical Grammar School,Serbia,2275,1792.5,4
NIT Jamshedpur,India,2250,1619.0,14
Flamire Research Institute,China,2278,2214.5,2
IME - RJ,Brazil,2249,2249.0,1
Kira_1234 Fan Club,Antarctica,2419,2419.0,1
Hunan University,China,2328,1879.4,5
Institute of Sexology,Vietnam,2390,2031.8333333333333,6
B20 Fan Club,China,2269,2269.0,1
Underground Idol,South Korea,2247,2247.0,1
Tongji University,China,2276,1946.5,2
Monogon Fan Club,Vietnam,2261,2261.0,1
Milwaukee School Of Engineering,United States,2408,2408.0,1
XV. gimnazija,Croatia,2584,2094.3333333333335,3
Ishkul,Bangladesh,2417,2417.0,1
Shanghai High School,China,2238,2174.5,2
Suzhou High School,China,2290,2129.0,2
University of Chicago,United States,2238,2238.0,1
De La Salle University Manila,Philippines,2237,2235.0,2
3Shape,Ukraine,2453,2453.0,1
IIT(ISM) DHANBAD,India,2268,1611.66,50
Huazhong University of Science and Technology,China,2415,2056.5,10
Shadow Wizard Money Gang,Antarctica,2269,2269.0,1
Moscow State Pedagogical University,Russia,2320,1942.3333333333333,3
Osaka University,Japan,2771,2328.0,3
Tianjin University,China,2330,1908.0,3
Beijing JiaoTong University,China,2287,1999.4285714285713,7
Church of define int long long,Thailand,2295,2295.0,1
GDUT,China,2378,1812.6666666666667,3
Eric1230 Fan Club,China,2231,1844.0,2
Kyungpook National University,South Korea,2231,2231.0,1
Almaty IITU,Kazakhstan,2550,2313.6666666666665,3
ASPCA,United States,2398,2398.0,1
Ams Ma Túy Incorporated,Vietnam,2230,2165.0,3
totally spies,Russia,2453,2453.0,1
South Dakota School of Mines and Technology,United States,2325,2325.0,1
Aurel Vlaicu National College Orastie,Romania,2543,2543.0,1
Universidad Nacional de Colombia,Colombia,2288,1823.7142857142858,7
Bitset Academy,Romania,2227,2227.0,1
eyangch fan-club,United States,2339,2339.0,1
Sharif University of Technology,Iran,2227,2184.0,2
Nirma University,India,2347,1621.1363636363637,22
Qvzeyang Fan Club,China,2302,2156.0,2
Cute Coffee Club,China,2278,2045.2,5
Lyceum BSU,Belarus,2261,1862.0,4
Montgomery Blair HS,United States,2320,1966.0,2
Linköping University,Netherlands,2289,2289.0,1
HKUST,Kazakhstan,2235,2160.0,2
angry water,Pakistan,2246,2246.0,1
Shandong Experimental High School,China,2220,2086.5,2
