name,type,value,date
heno239,Japan,0,2013/12/13
arvindf232,Hong Kong,0,2013/12/13
Chtholly-Nota-Seniorious,Unknown,0,2013/12/13
AlternatingCurrent,Antarctica,0,2013/12/13
YamadaRyo,Japan,0,2013/12/13
antontrygubO_o,Ukraine,0,2013/12/13
PinkieRabbit,China,0,2013/12/13
dXqwq,China,0,2013/12/13
SSRS_,Japan,0,2013/12/13
peti1234,Hungary,0,2013/12/13
qiuzx,Antarctica,0,2013/12/13
tzc_wk,China,0,2013/12/13
ttklwxx,China,0,2013/12/13
StarSilk,Unknown,0,2013/12/13
A.K.E.E.,China,0,2013/12/13
never_giveup,Russia,0,2013/12/13
kotatsugame,Japan,0,2013/12/13
fengqiyuka,China,0,2013/12/13
hank55663,Taiwan,0,2013/12/13
PCTprobability,Japan,0,2013/12/13
Flamire,Unknown,0,2013/12/13
alireza_kaviani,Iran,0,2013/12/13
Forested,Japan,0,2013/12/13
Szoboszlai10,Hungary,0,2013/12/13
Melusine,China,0,2013/12/13
E869120,Japan,0,2013/12/13
crazy_sea,China,0,2013/12/13
Kuroni,Vietnam,0,2013/12/13
-Eternity-,Unknown,0,2013/12/13
The_Noble_Brahman_Bison,China,0,2013/12/13
Kapt,Russia,0,2013/12/13
tourist,Belarus,3093,2014/01/12
Petr,Switzerland,2753,2014/01/12
Egor,Germany,2741,2014/01/12
hos.lyric,Japan,2400,2014/01/12
ecnerwala,United States,2338,2014/01/12
Swistakk,Poland,2304,2014/01/12
jqdai0815,Samoa,2242,2014/01/12
snuke,Japan,2067,2014/01/12
ksun48,Canada,2014,2014/01/12
Um_nik,Ukraine,1961,2014/01/12
Golovanov399,Russia,1910,2014/01/12
yosupo,Japan,1804,2014/01/12
molamola.,South Korea,1803,2014/01/12
jiangly,China,0,2014/01/12
Benq,United States,0,2014/01/12
orzdevinwang,China,0,2014/01/12
cnnfls_csy,China,0,2014/01/12
Radewoosh,Poland,0,2014/01/12
gyh20,China,0,2014/01/12
Rebelz,China,0,2014/01/12
Geothermal,United States,0,2014/01/12
gamegame,Hong Kong,0,2014/01/12
fivedemands,Hong Kong,0,2014/01/12
maroonrk,Japan,0,2014/01/12
ugly2333,China,0,2014/01/12
Ormlis,Russia,0,2014/01/12
maspy,Japan,0,2014/01/12
VivaciousAubergine,China,0,2014/01/12
potato167,Japan,0,2014/01/12
